text,level,tag,message,weak_label,attack_probability,predicted_attack_tuned
W System.err at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getResponse(HttpURLConnectionImpl.java:405),W,System.err,at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getResponse(HttpURLConnectionImpl.java:405),1,0.999995558607701,1
W System.err at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getResponseCode(HttpURLConnectionImpl.java:521),W,System.err,at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getResponseCode(HttpURLConnectionImpl.java:521),1,0.999995558607701,1
W System.err at com.b.a.m.a(Unknown Source),W,System.err,at com.b.a.m.a(Unknown Source),1,0.9999950860197233,1
W System.err at com.b.a.m.q(Unknown Source),W,System.err,at com.b.a.m.q(Unknown Source),1,0.9999950860197233,1
E CHR_HWASDiv getAsdivWorkState: error!,E,CHR_HWASDiv,getAsdivWorkState: error!,1,0.999994926270973,1
E CalendarProvider Log error:error:getLogField--NoSuchFieldExceptionLog,E,CalendarProvider,Log error:error:getLogField--NoSuchFieldExceptionLog,1,0.9999946240582751,1
W System.err at android.app.Instrumentation.callApplicationOnCreate(Instrumentation.java:1028),W,System.err,at android.app.Instrumentation.callApplicationOnCreate(Instrumentation.java:1028),1,0.9999945882595066,1
W System.err at android.content.res.AssetManager.open(AssetManager.java:664),W,System.err,at android.content.res.AssetManager.open(AssetManager.java:664),1,0.9999927812164493,1
W System.err at android.content.res.AssetManager.open(AssetManager.java:664),W,System.err,at android.content.res.AssetManager.open(AssetManager.java:664),1,0.9999927812164493,1
W System.err at com.dianping.nvnetwork.o.b(NVGlobalConfig.java:265),W,System.err,at com.dianping.nvnetwork.o.b(NVGlobalConfig.java:265),1,0.9999926551858317,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
W System.err at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),W,System.err,at com.huawei.android.manufacture.ProjectMenuCustEx.getApparatusModel(ProjectMenuCustEx.java:79),1,0.999992517756991,1
E HwWechatOptimizeImpl failed parsing switch file IO error,E,HwWechatOptimizeImpl,failed parsing switch file IO error,1,0.9999922075120825,1
W System.err at android.database.DatabaseUtils.readExceptionFromParcel(DatabaseUtils.java:183),W,System.err,at android.database.DatabaseUtils.readExceptionFromParcel(DatabaseUtils.java:183),1,0.9999916053561831,1
E libteec fd received!,E,libteec,fd received!,1,0.9999910200102727,1
E libteec fd received!,E,libteec,fd received!,1,0.9999910200102727,1
E libteec fd received!,E,libteec,fd received!,1,0.9999910200102727,1
E libteec fd received!,E,libteec,fd received!,1,0.9999910200102727,1
E libteec fd received!,E,libteec,fd received!,1,0.9999910200102727,1
W System.err at com.android.okhttp.internal.http.HttpEngine.readResponse(HttpEngine.java:778),W,System.err,at com.android.okhttp.internal.http.HttpEngine.readResponse(HttpEngine.java:778),1,0.999989981695493,1
W System.err at com.android.server.TelephonyRegistry.checkListenerPermission(TelephonyRegistry.java:1588),W,System.err,at com.android.server.TelephonyRegistry.checkListenerPermission(TelephonyRegistry.java:1588),1,0.9999897128397294,1
W System.err at org.kxml2.io.KXmlParser.readValue(KXmlParser.java:1357),W,System.err,at org.kxml2.io.KXmlParser.readValue(KXmlParser.java:1357),1,0.9999892706631495,1
W System.err at org.kxml2.io.KXmlParser.readValue(KXmlParser.java:1357),W,System.err,at org.kxml2.io.KXmlParser.readValue(KXmlParser.java:1357),1,0.9999892706631495,1
